sentence,pred_text,file
my throught is so sore,my hok is so sot,./recordings/1249120_29713479_39686519.wav
i've been feeling very sad lately,i have been feeling very saglav,./recordings/1249120_43453425_80035023.wav
i'm not hearing well i have problem with my ear,i'm not hearing well i have a promele with my ear,./recordings/1249120_42554554_86162662.wav
i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problem seeing things feel like a cloud on my eyes everything is blutry,./recordings/1249120_13842059_51065552.wav
i have a hair shortage,i have a hair shortage,./recordings/1249120_15004831_13536344.wav
when i walk up a flight of stairs my right knee hurts,when i walk upa plight of astairs my right knee holgs,./recordings/1249120_44093933_56620406.wav
the wound is still open,the old age steel open,./recordings/1249120_44323331_26408664.wav
i feel head ache,i feel haidach,./recordings/1249120_39438102_45260156.wav
i feel pain in my neck while i'm working,i sfeell pain in my neck while i'm working,./recordings/1249120_1853182_104613772.wav
severe pain in the ear,severe pan in the yard,./recordings/1249120_20518958_39810877.wav
my body aches on the inside between my hips and shoulders,my body aches on the in side wipin my hats and shoulders,./recordings/1249120_35444693_61506647.wav
my lower back hurts but it improves if i stretch it,my lower back hurts but it improves if i stretch it,./recordings/1249120_44220382_97217225.wav
my knee hurts when i walk,my knee hurts when i'm walk,./recordings/1249120_39438102_21408921.wav
i feel congestion in my chest,i feel conjestion in my chest,./recordings/1249120_43620482_87773863.wav
my chest break out with red pimples and whiteheads,my head wike ahump with rap pampi'm i ha,./recordings/1249120_44259428_55288440.wav
i don't do anything at home and still i feel exhausted,i don't do anything at home and still i feel exhausted,./recordings/1249120_22345789_43469530.wav
there is a sharp pain in my ear whenever i do this,there is a frap pain in my ear when ivere i do this,./recordings/1249120_43453425_79122255.wav
i have eruptions on my face that come and go,i have eruptions on my face that come and go,./recordings/1249120_2171654_104363236.wav
i feel a sharp pain in my head when i think too hard,i feel a sharp pain in my head when i think too hard,./recordings/1249120_43825820_24998638.wav
i have a pain in my stomach,i have a pain in my stomach,./recordings/1249120_2171654_64203995.wav
there is pain in the muscles i do not know caused,the ris pain in the muscles i do not know cost,./recordings/1249120_44188922_47265010.wav
glass broken and wound my leg badly the wound is so wide,glass broken and wound my leg badly the wound is so wide,./recordings/1249120_44093303_62497539.wav
i couldn't stop shaking or unclench my jaw that's how cold i was,i couldn't stop rekicking or unclench my jaw that's how a cold i was,./recordings/1249120_30766630_30649963.wav
every time i make an effort i felt dizzy,every time i neck and fot i felt dizzy,./recordings/1249120_35448024_103587684.wav
how do you know if you have a torn meniscus in your knee,how do you know if you have a ton meniscus in your knee,./recordings/1249120_43402738_41140670.wav
i think i sprained my ankle it really hurts,i think i spring in my ancle it rally hurts,./recordings/1249120_43995026_24246548.wav
i have tried to relief it but i can't,i have tried to relieve it but i can't,./recordings/1249120_36929821_79147299.wav
i wake up with a stiff neck every morning  massage helps but then a couple of days later it's back again,i wake up with a stiff neck every morning mysoch helps but in a couple of days later it's back again,./recordings/1249120_30766630_98579606.wav
my hand open wound got infected,my hig uppen wone would iv it,./recordings/1249120_33251186_96113819.wav
i have a lot of mucus when i cough,i have lot of mocus wen acoug,./recordings/1249120_43350908_42221658.wav
i don't have problems taking in breath but out breath is so heavy,i don't have prolam stacking in briefs but your briefs is so heavy,./recordings/1249120_41221824_15620955.wav
i have pimples on my back,i have pimples on my back,./recordings/1249120_43855932_99668568.wav
i have a blurry vision since i woke up this morning what could be the reason,i have a blurry vision since i woke up this morning what could be the reason,./recordings/1249120_43918153_14638499.wav
i feel lightheaded,ii den ha,./recordings/1249120_39675900_94763053.wav
severe pain in the upper left side of chest and may have pain to back,severe pain in the upper left side of chest and may have pain to back,./recordings/1249120_40401830_30466476.wav
i feel a clicking sensation in my knee each time i step,i feel a clicking sensation in my knee each time i step,./recordings/1249120_38202325_48631172.wav
i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tenise match,./recordings/1249120_18985376_29003726.wav
i have a back pain since i turned 70 years old,i have a bac ping since i don't semty lusel,./recordings/1249120_35444693_15581673.wav
when i stand up too quick my vision is blurry,when i stand up too peack my vizan is bludry,./recordings/1249120_44235678_80508606.wav
my body feels weak after my first day in the gym why,my body feels let weak after my fus jain tan in why,./recordings/1249120_43453425_53595655.wav
my ear hurts me badly,my air hurts me badly,./recordings/1249120_38202325_99459337.wav
my head hurts in the back and the pain lasts all day,my head curts in the backthe pain last all day,./recordings/1249120_44111844_19157383.wav
my body feels weak and i tried to make it relax but it stills pain me,my body feels weak and i try to make it relax but it stills pain me,./recordings/1249120_41203338_86549680.wav
when i eat sugar i notice my vision blurs,when i eeld shuver i notice my bizzen bluds,./recordings/1249120_43453425_44260663.wav
i have injured myself during the soccer match,i had injured myself during the soccer match,./recordings/1249120_43755034_92591282.wav
i have severe shoulder pain,i have s wer shoulder pang,./recordings/1249120_44101988_20421521.wav
when i walk i get a stabbing pain in the top of my foot,when i walk i get stamp in pain in the top of my foot,./recordings/1249120_42210938_105996540.wav
i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold folast time i travelr it by plain and i still have a discomfort in my ears,./recordings/1249120_36214391_97819824.wav
i often get a sharp pain in my chest and i can't tell what i'm doing that might be triggering it,i often get a sharp pain in my chest and i can't tell where i'm doing that might be trigering it,./recordings/1249120_40401830_38976383.wav
i get terrible headaches every few months and when i get them my vision is affected,i get terrible headics i feel months and why not get dhom my vision is affected,./recordings/1249120_13842059_64943737.wav
it feels like i can't take a deep breath,it feels like i can't take a deep breath,./recordings/1249120_15004831_56564278.wav
i cut myself and i'm bleeding,i cut myself and i'm blooding,./recordings/1249120_41150153_65748122.wav
i have tried to make massage on my foot but they still pain me,i have tried to make mussachon my foot but they still pain me,./recordings/1249120_43883861_87424277.wav
i have a foot ache in winter or when it feels cold why,i have a foot ache in the winter or when it feels coldwhy,./recordings/1249120_35832653_96949436.wav
i have a foot ache after running 500m with my running shoes,i have a food ach after running fiveen in witer withsomi running shouts,./recordings/1249120_43604449_29546987.wav
i have a pain internal,i feel pain my parting loved on,./recordings/1249120_43105396_65580508.wav
my knee hurts when i walk,my knee urts when i woke,./recordings/1249120_41221824_89002742.wav
when i play football i have muscle pain,when i play football i have muscle pain,./recordings/1249120_38202325_91523649.wav
i'm having a hard time reading because the letters are all fuzzy,i'm having a hurt time reading because the litders are all foossy,./recordings/1249120_43758322_24575606.wav
his infected wound was beginning to rot,his infected wound was beginning to at,./recordings/1249120_35350617_75769875.wav
i feel pain in my back,i feel failing in my pik,./recordings/1249120_44101988_68431789.wav
all my body is in a bad case and i need a good treatment,all my body is in a bad case and i need a good treatman,./recordings/1249120_43350908_104896063.wav
even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,./recordings/1249120_33905644_27374333.wav
i can't get a girlfriend because of my acne,i can't get a girpe becausen of my acni,./recordings/1249120_40725179_19629833.wav
i feel lightheaded when i stand up,i feel lightheaded when i stand up,./recordings/1249120_15004831_76313457.wav
i have the impression of having no strength in my body,i have th inpression of having no strength in my body,./recordings/1249120_44111844_55348773.wav
i can't stop coughing,i can stop cofhing,./recordings/1249120_41221824_38190576.wav
i feel discomfort throughout the body in general,i feel discomfort throughout the body in general,./recordings/1249120_35350617_52372234.wav
i have acne in my face and other problema in my derma like itching,i have agony in my face and other problema in my terma like itching,./recordings/1249120_40571337_83326144.wav
my shoulder has agreat pain,my shoulder has a great pain,./recordings/1249120_44294866_52206190.wav
glass broken and wound my leg badly the wound is so wide,last broken and wound my leg so badly the wound is so wide,./recordings/1249120_41203338_99746712.wav
i need a kind of cream wich make my muscles more relaxed,i nit a kind of cream which make my muscles more relexed,./recordings/1249120_40401830_40968941.wav
my face is all broken out with pimples,my passage all broken out with pimples,./recordings/1249120_39142299_77959494.wav
my chest break out with red pimples and whiteheads,my chest break out with red pimples and whiteheads,./recordings/1249120_44093303_99283671.wav
i knocked my foot and it really hurts,i knocked my foot in a treany hurts,./recordings/1249120_42557795_97628322.wav
my shoulder aches when i try to lift five pounds,my shoulder aches when i try to lit five pounds,./recordings/1249120_44263136_94477614.wav
i have a very rash sensation close to my arms,i have a rady ra since eresunflose to my arm,./recordings/1249120_44142156_99940305.wav
my left side aches much,my leg side aches much,./recordings/1249120_36214391_46455702.wav
i'm not hearing well i have problem with my ear,wy naut ring bell i have problem with nak ou,./recordings/1249120_35444693_91426713.wav
i can't get a girlfriend because of my acne,i can't get a girl friend because of my achny,./recordings/1249120_15004831_50312267.wav
my body feels weak although i take my vitamins regularly,y body feels wick although i thick my wittmens travller me,./recordings/1249120_43898158_57187839.wav
i wake up at night feeling cold,i wake up at night feeling cold,./recordings/1249120_39740177_99155674.wav
when i was young i had an injury from sports in my knee,when i was young i had a injury from sports in my knee,./recordings/1249120_35832653_95882563.wav
i feel a pain in my back,i feel pain in my back,./recordings/1249120_44263136_63958069.wav
my upper back has been sore for a week,my upper back has been sore for a week,./recordings/1249120_43620482_92874201.wav
all of a sudden i felt dizzy when i stood up,allog for sudden i feel bizy when i stod uff,./recordings/1249120_44101988_23495958.wav
oh my heart hurts me i tried to be calm and i can't,oh my heuart hurts me i try to be calm and i can't,./recordings/1249120_35350617_101980727.wav
i have tried to relief it but i can't,i have tried to relieve it but i can't,./recordings/1249120_38548574_20338153.wav
i hit myself and the would doesn't want to heal,i hat myself and the wood doesn't want to hill,./recordings/1249120_39142299_67548099.wav
when i'm awake in the morning i feel strange and have vertigo,when i'm awake in the morning i feel strange and have a tig,./recordings/1249120_44111844_84464555.wav
i have a rash on my skin,iv aach on my,./recordings/1249120_44023395_96450927.wav
my shoulder hurts when i try to reach something above my head,my souldier hurts when i try to reach something above my head,./recordings/1249120_40184183_55829688.wav
my knee catches and hurts when i first stand up after sitting,my knee catches and hurts when i first stand up after sitting,./recordings/1249120_43316708_108860112.wav
i feel a huge emotional pain after i broke up with my girlfriend,i feel a huge emotional pain after i broke up with my girl friend,./recordings/1249120_29289135_60618905.wav
when i play sports  i have some burning sensation in my spine,when i play spolts i have some burnding sensation in my pine,./recordings/1249120_33905644_17603413.wav
i feel cold although we are in summer,i feel cold although we are in summer,./recordings/1249120_35350617_57277241.wav
i feel pain in my legs muscles after i ran yesterday i took some pain killers but it doesn't help,i feel pain in my legs muscles after i wearn estedayi took some paing cillars but it doesn't help,./recordings/1249120_21665495_53956451.wav
the pain in my back dwwls like a sharp knife in it,the pain in my back feels like a sharp knife in it,./recordings/1249120_36505751_99422756.wav
surgical wound infections,surgicl wound infections,./recordings/1249120_43825820_86209370.wav
i have a sharp pain in my lower stomach,i have a sharp paint in my dogr stump,./recordings/1249120_43577102_91093778.wav
